fecha,total_amount
2023-06-03,2223247.32
2023-06-04,1810271.75
2023-06-05,1866515.79
2023-06-06,2376408.24
2023-06-07,2434237.53
2023-06-08,2287509.08
2023-06-09,2163402.55
2023-06-10,2133464.96
2023-06-11,1723285.04
2023-06-12,1948188.24
2023-06-13,2276823.89
2023-06-14,2407247.27
2023-06-15,2486780.39
2023-06-16,2087019.06
2023-06-17,1973894.91
2023-06-18,1620149.9
2023-06-19,1473818.02
2023-06-20,2098993.76
2023-06-21,2286197.95
2023-06-22,2343047.8
2023-06-23,2143595.45
2023-06-24,2059306.64
2023-06-25,1714920.71
2023-06-26,1810324.86
2023-06-27,2075083.85
2023-06-28,1971890.73
2023-06-29,2034778.63
2023-06-30,1725187.41
2023-07-01,1433854.44
2023-07-02,1189915.5
2023-07-03,1099852.26
2023-07-04,941471.52
2023-07-05,1511545.71
2023-07-06,1751629.49
2023-07-07,1673655.39
2023-07-08,1656337.33
2023-07-09,1402472.72
2023-07-10,1561361.13
2023-07-11,1969049.02
2023-07-12,2174438.85
2023-07-13,2208807.19
2023-07-14,1871018.34
2023-07-15,1889599.02
2023-07-16,1437679.13
2023-07-17,1670765.74
2023-07-18,2049241.14
2023-07-19,2165283.22
2023-07-20,2170437.07
2023-07-21,1870093.87
2023-07-22,1888746.3
2023-07-23,1549310.94
2023-07-24,1606599.74
2023-07-25,2032665.4
2023-07-26,2152722.54
2023-07-27,2202331.66
2023-07-28,1902236.91
2023-07-29,1833403.68
2023-07-30,1560223.27
2023-07-31,1524776.17
2023-08-01,1864258.73
2023-08-02,1968114.47
2023-08-03,1972132.34
2023-08-04,1720498.28
2023-08-05,1742689.85
2023-08-06,1420566.28
2023-08-07,1488786.24
2023-08-08,1790136.21
2023-08-09,1906800.19
2023-08-10,2029312.2
2023-08-11,1703300.84
2023-08-12,1688560.57
2023-08-13,1458644.07
2023-08-14,1478552.99
2023-08-15,1734986.24
2023-08-16,1874450.58
2023-08-17,1889031.91
2023-08-18,1655500.33
2023-08-19,1711044.71
2023-08-20,1390082.2
2023-08-21,1386185.89
2023-08-22,1600154.73
2023-08-23,1726876.13
2023-08-24,1807193.07
2023-08-25,1621140.04
2023-08-26,1675217.82
2023-08-27,1442765.51
2023-08-28,1354020.29
2023-08-29,1782460.09
2023-08-30,1741675.35
2023-08-31,1702181.14
2023-09-01,1525446.93
2023-09-02,1472376.29
2023-09-03,1377007.75
2023-09-04,1139412.93
2023-09-05,1849905.55
2023-09-06,2342122.69
2023-09-07,2644543.63
2023-09-08,2493014.28
2023-09-09,2327741.11
2023-09-10,1945201.87
